sampler,accuracy,precision,recall,f1_score,roc_auc,pr_auc,training_time
smotetomek,0.7514677103718199,0.14084507042253522,0.8,0.23952095808383234,0.8451028806584362,0.28070454709229553,0.013074900023639202
adasyn,0.7436399217221135,0.136986301369863,0.8,0.23391812865497075,0.8450823045267489,0.29889625724358543,0.013575900113210082
smote,0.7514677103718199,0.14084507042253522,0.8,0.23952095808383234,0.8450411522633744,0.28130747380446186,0.01252379990182817
random_over,0.7446183953033269,0.13745704467353953,0.8,0.23460410557184752,0.8444650205761317,0.26990058880275486,0.013400600058957934
baseline,0.7455968688845401,0.13793103448275862,0.8,0.23529411764705882,0.8436625514403292,0.26853793545870036,0.009562399936839938
smoteenn,0.7289628180039139,0.13029315960912052,0.8,0.22408963585434175,0.842880658436214,0.26102682956781353,0.013404499972239137
borderline_smote,0.786692759295499,0.16129032258064516,0.8,0.2684563758389262,0.8415843621399176,0.27176678752476074,0.009770900011062622
