sampler,accuracy,precision,recall,f1_score,roc_auc,pr_auc,training_time
smotetomek,0.7514677103718199,0.14084507042253522,0.8,0.23952095808383234,0.8451028806584362,0.28070454709229553,0.015704300021752715
adasyn,0.7436399217221135,0.136986301369863,0.8,0.23391812865497075,0.8450823045267489,0.29889625724358543,0.01421709987334907
smote,0.7514677103718199,0.14084507042253522,0.8,0.23952095808383234,0.8450411522633744,0.28130747380446186,0.012291499879211187
random_over,0.7446183953033269,0.13745704467353953,0.8,0.23460410557184752,0.8444650205761317,0.26990058880275486,0.01367949997074902
baseline,0.7455968688845401,0.13793103448275862,0.8,0.23529411764705882,0.8436625514403292,0.26853793545870036,0.00965430005453527
smoteenn,0.7289628180039139,0.13029315960912052,0.8,0.22408963585434175,0.842880658436214,0.26102682956781353,0.013395899906754494
borderline_smote,0.786692759295499,0.16129032258064516,0.8,0.2684563758389262,0.8415843621399176,0.27176678752476074,0.010196399874985218
