threshold,precision,recall,f1_score,specificity,balanced_accuracy,youdens_j
0.05,0.0620253164556962,0.98,0.11666666666666667,0.23765432098765432,0.6088271604938271,0.21765432098765425
0.1,0.07596899224806201,0.98,0.1410071942446043,0.3868312757201646,0.6834156378600823,0.3668312757201646
0.15000000000000002,0.07908611599297012,0.9,0.14539579967689822,0.4609053497942387,0.6804526748971194,0.3609053497942387
0.2,0.08285163776493257,0.86,0.15114235500878734,0.5102880658436214,0.6851440329218107,0.3702880658436214
0.25,0.09033613445378151,0.86,0.1634980988593156,0.5545267489711934,0.7072633744855967,0.41452674897119346
0.3,0.09699769053117784,0.84,0.17391304347826086,0.5977366255144033,0.7188683127572016,0.4377366255144033
0.35000000000000003,0.10606060606060606,0.84,0.18834080717488788,0.6358024691358025,0.7379012345679012,0.4758024691358025
0.4,0.11898016997167139,0.84,0.20843672456575682,0.6800411522633745,0.7600205761316872,0.5200411522633743
0.45,0.12962962962962962,0.84,0.22459893048128343,0.7098765432098766,0.7749382716049382,0.5498765432098764
0.5,0.13793103448275862,0.8,0.23529411764705882,0.742798353909465,0.7713991769547326,0.5427983539094652
0.55,0.15625,0.8,0.26143790849673204,0.7777777777777778,0.788888888888889,0.577777777777778
0.6000000000000001,0.17105263157894737,0.78,0.2805755395683453,0.8055555555555556,0.7927777777777778,0.5855555555555556
0.6500000000000001,0.18974358974358974,0.74,0.3020408163265306,0.8374485596707819,0.788724279835391,0.5774485596707819
0.7000000000000001,0.2057142857142857,0.72,0.32,0.8569958847736625,0.7884979423868312,0.5769958847736625
0.7500000000000001,0.22535211267605634,0.64,0.3333333333333333,0.8868312757201646,0.7634156378600823,0.5268312757201645
0.8,0.24271844660194175,0.5,0.32679738562091504,0.9197530864197531,0.7098765432098766,0.4197530864197532
0.8500000000000001,0.3064516129032258,0.38,0.3392857142857143,0.9557613168724279,0.667880658436214,0.33576131687242805
0.9000000000000001,0.25,0.14,0.1794871794871795,0.9783950617283951,0.5591975308641975,0.11839506172839509
0.9500000000000001,1.0,0.04,0.07692307692307693,1.0,0.52,0.040000000000000036
